Site,Month,Dog_1,dag_2,Dog_3,Dag_4,cat_1,cap_2,Cat_3,cat_4,Cap_5,,,,,,,,,
1,January,0,5,8,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0
2,January,1,6,8,0,0,7,7,0,6,0,0,0,0,0,0,0,0,0
3,January,1,2,2,0,0,0,17,1,19,0,0,0,0,0,0,0,0,0
4,February,1,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
5,February,1,0,2,0,0,2,6,0,33,0,0,0,0,0,0,0,0,0
6,March,1,0,5,0,0,0,7,2,29,0,0,0,0,0,0,0,0,0
7,March,0,0,4,0,0,1,4,0,75,0,0,0,0,0,0,0,0,0
8,April,0,1,5,0,0,2,2,0,31,0,0,0,0,0,0,0,0,0
9,May,1,0,1,0,0,1,2,1,18,0,0,0,0,0,0,0,0,0
10,May,0,2,11,0,0,1,1,0,30,0,0,0,0,0,0,0,0,0
11,May,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
12,May,0,0,0,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0
13,June,1,1,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
14,July,0,0,2,0,0,0,6,6,11,0,0,0,0,0,0,0,0,0
15,August,1,3,6,0,0,4,7,0,34,0,0,0,0,0,0,0,0,0
16,October,0,2,8,0,0,3,4,0,28,0,0,0,0,0,0,0,0,0
17,October,0,0,7,0,0,1,10,0,40,0,0,0,0,0,0,0,0,0
18,November,0,2,5,0,0,1,11,0,31,0,0,0,0,0,0,0,0,0
19,November,0,10,5,0,0,4,20,0,4,0,0,0,0,0,0,0,0,0
20,December,0,1,10,1,0,5,1,1,16,0,0,0,0,0,0,0,0,0